house_id,city,sale_price,sale_date,months_listed,bedrooms,house_type,area
1217792,Silvertown,55943,2021-09-12,5.4,2,Semi-detached,107.8 sq.m.
1900913,Silvertown,384677,2021-01-17,6.3,5,Detached,498.8 sq.m.
1174927,Riverford,281707,2021-11-10,6.9,6,Detached,542.5 sq.m.
1773666,Silvertown,373251,2020-04-13,6.1,6,Det.,528.4 sq.m.
1258487,Silvertown,328885,2020-09-24,8.7,5,Detached,477.1 sq.m.
1539789,Riverford,47143,2020-09-25,5.1,2,Semi-detached,123.2 sq.m.
1353069,Teasdale,429914,2021-05-18,NA,6,Detached,544.6 sq.m.
1155864,Teasdale,284440,2020-10-15,5.8,4,Detached,371.3 sq.m.
1608726,Teasdale,87134,2021-01-07,4.4,2,Semi-detached,125.7 sq.m.
1358764,Poppleton,211203,2020-05-04,3,4,Detached,371.5 sq.m.
1277089,Teasdale,382655,2021-10-26,4.6,5,Detached,428.8 sq.m.
1117876,Riverford,54934,2020-06-11,3.7,2,Semi-detached,147.7 sq.m.
1710056,Silvertown,297101,2022-10-10,5.8,4,Detached,395.6 sq.m.
1860591,Poppleton,171502,2021-08-04,6.2,4,Detached,304.4 sq.m.
1470021,Riverford,158198,2020-08-18,5.3,4,Detached,316.8 sq.m.
1396614,Teasdale,428808,2021-07-18,3.5,6,Detached,554.3 sq.m.
1369220,Teasdale,269688,2020-11-23,5,4,Detached,374.9 sq.m.
1195530,Silvertown,208965,2020-06-05,4.6,3,Detached,294.3 sq.m.
1384054,Silvertown,257146,2020-11-19,5.5,4,Detached,397.0 sq.m.
1070852,Riverford,160653,2020-02-25,6.9,4,Detached,316.3 sq.m.
1239607,Poppleton,173098,2020-04-16,NA,3,Detached,296.9 sq.m.
1234703,Poppleton,44759,2020-01-14,7.8,2,Terraced,155.8 sq.m.
1029340,Teasdale,257485,2022-12-28,4.9,4,Detached,340.0 sq.m.
1230625,Silvertown,360545,2020-04-07,6.2,6,Detached,512.9 sq.m.
1509752,Poppleton,299439,2020-01-09,4.7,6,Detached,533.1 sq.m.
1690505,Poppleton,181902,2021-08-29,8.9,4,Detached,310.6 sq.m.
1333241,Riverford,247401,2022-05-20,3.7,5,Detached,486.5 sq.m.
1460636,Silvertown,297446,2021-12-13,4.7,5,Detached,424.8 sq.m.
1925995,Teasdale,429022,2020-10-27,5.9,6,Detached,532.8 sq.m.
1751885,Riverford,74877,2022-08-22,3.8,3,Semi-detached,209.8 sq.m.
1357314,Teasdale,415389,2022-11-14,4.8,6,Detached,520.9 sq.m.
1598280,Teasdale,91672,2020-04-13,7.6,3,Terraced,229.4 sq.m.
1042443,Silvertown,76722,2021-04-02,6.4,2,Semi-detached,160.2 sq.m.
1418816,Teasdale,202506,2020-01-31,5.8,3,Detached,254.8 sq.m.
1865882,Silvertown,77037,2020-09-29,6.4,2,Semi,168.6 sq.m.
1247170,Silvertown,396370,2022-09-05,5.4,6,Det.,553.8 sq.m.
1883852,Silvertown,91287,2020-07-23,7.9,2,Semi-detached,175.4 sq.m.
1862984,Teasdale,197265,2020-10-14,6.1,3,Detached,254.9 sq.m.
1183122,Riverford,89504,2020-08-03,6.6,3,Semi-detached,228.8 sq.m.
1948789,Riverford,215858,2020-07-05,5.4,5,Detached,428.7 sq.m.
1789755,Poppleton,141265,2022-04-03,4.1,3,Detached,246.1 sq.m.
1734155,Silvertown,309230,2022-01-14,7.4,5,Detached,461.7 sq.m.
1685700,Teasdale,77482,2021-03-19,7.1,2,Semi-detached,125.5 sq.m.
1629610,Teasdale,305026,2022-04-29,5.4,4,Detached,392.1 sq.m.
1377013,Riverford,224905,2022-10-16,6.9,5,Detached,455.4 sq.m.
1223765,Silvertown,299889,2022-08-02,6.7,5,Detached,420.2 sq.m.
1257849,Poppleton,183020,2021-09-30,5.5,3,Detached,298.4 sq.m.
1650856,Poppleton,266342,2020-09-29,3.9,5,Detached,462.6 sq.m.
1737725,Teasdale,320752,2021-09-07,5.1,5,Detached,408.9 sq.m.
1626594,Poppleton,286361,2022-07-30,4.3,5,Detached,484.1 sq.m.
1513904,Teasdale,375974,2022-01-03,6.1,6,Detached,510.9 sq.m.
1517850,Silvertown,201771,2020-12-27,5.8,3,Detached,271.4 sq.m.
1915202,Teasdale,349648,2020-06-15,5.4,5,Detached,439.3 sq.m.
1910882,Silvertown,79784,2022-09-07,6.9,2,Semi-detached,149.5 sq.m.
1303283,Teasdale,239106,2022-09-17,5,4,Detached,317.3 sq.m.
1037597,Poppleton,50975,2022-09-23,7.8,2,Semi-detached,119.1 sq.m.
1075629,Teasdale,340734,2021-06-05,8.1,5,Detached,408.3 sq.m.
1028805,Riverford,245261,2022-08-06,6.5,6,Detached,552.9 sq.m.
1161276,Silvertown,418131,2022-05-10,7.7,6,Detached,592.1 sq.m.
1631243,Riverford,205905,2021-02-28,7.6,4,Detached,382.5 sq.m.
1010355,Poppleton,61207,2020-06-27,5.2,2,Semi-detached,145.0 sq.m.
1289493,Silvertown,63949,2020-10-06,2.6,2,Terraced,181.8 sq.m.
1197355,Teasdale,285132,2022-12-18,3.8,4,Detached,337.3 sq.m.
1351812,Riverford,229931,2021-12-22,3.5,5,Detached,440.4 sq.m.
1505538,Silvertown,380205,2022-12-19,4.2,6,Detached,520.7 sq.m.
1433252,Teasdale,316508,2021-07-31,1.2,4,Detached,383.6 sq.m.
1882469,Teasdale,456663,2020-09-28,8,6,Detached,598.5 sq.m.
1094683,Riverford,173451,2021-12-22,5.6,4,Detached,346.1 sq.m.
1512144,Silvertown,429969,2022-05-16,8.1,6,Detached,589.1 sq.m.
1385300,Poppleton,215575,2022-10-02,6.3,4,Detached,349.9 sq.m.
1222170,Teasdale,187712,2021-08-04,6.5,3,Detached,240.3 sq.m.
1734425,Poppleton,210941,2021-05-23,7.8,4,Detached,334.7 sq.m.
1534182,Poppleton,160239,2020-11-13,6.6,3,Detached,271.9 sq.m.
1358048,Teasdale,256985,2020-03-08,8.1,4,Detached,309.3 sq.m.
1648119,Silvertown,184410,2021-11-06,3.3,3,Detached,275.0 sq.m.
1101259,Silvertown,332355,2022-02-04,7.3,5,Detached,453.3 sq.m.
1000296,Silvertown,268043,2020-06-04,7.4,4,Detached,394.7 sq.m.
1981646,Riverford,26348,2022-10-03,NA,2,Terraced,109.0 sq.m.
1783843,Riverford,43047,2021-04-20,9.4,2,Semi-detached,110.3 sq.m.
1203285,Silvertown,359392,2022-02-25,8.9,6,Detached,523.7 sq.m.
1624288,Silvertown,69405,2020-06-18,7.8,3,Terraced,201.2 sq.m.
1487654,--,72586,2020-05-28,5.4,2,Semi-detached,147.4 sq.m.
1932412,Teasdale,201099,2020-12-28,7.8,3,Detached,246.7 sq.m.
1579084,Teasdale,59814,2021-02-13,6.9,2,Terraced,148.3 sq.m.
1926110,Poppleton,67184,2021-05-14,7.8,2,Semi-detached,144.1 sq.m.
1589617,Poppleton,157600,2021-10-11,NA,3,Detached,260.3 sq.m.
1655164,Silvertown,210697,2020-06-24,8.8,4,Detached,308.3 sq.m.
1546532,Silvertown,245619,2021-02-24,6.4,4,Detached,363.4 sq.m.
1722810,Silvertown,351162,2021-06-04,6,5,Detached,463.3 sq.m.
1690740,--,338647,2022-12-28,3.7,5,Detached,459.5 sq.m.
1552726,Riverford,143188,2022-02-11,7.1,3,Detached,285.4 sq.m.
1548631,Teasdale,318442,2020-06-03,5.6,4,Detached,373.1 sq.m.
1582571,Teasdale,98395,2022-03-10,5.9,2,Semi-detached,160.1 sq.m.
1584947,Teasdale,151648,2020-07-11,7.1,2,Detached,192.4 sq.m.
